2022-11-11 10:56:15,500 [main] INFO  ua.hillel.homeworks.homework21.Application [main:22] - Add new order for name: Superman
2022-11-11 10:56:15,505 [main] INFO  ua.hillel.homeworks.homework21.CoffeeOrderBoard [add:19] - Заказ добавлен, имя: Superman, номер заказа: 4
2022-11-11 10:56:15,506 [main] INFO  ua.hillel.homeworks.homework21.Application [main:25] - Add new order for name: Wonder woman
2022-11-11 10:56:15,506 [main] INFO  ua.hillel.homeworks.homework21.CoffeeOrderBoard [add:19] - Заказ добавлен, имя: Wonder woman, номер заказа: 5
2022-11-11 10:56:15,506 [main] INFO  ua.hillel.homeworks.homework21.Application [main:28] - Display the list of orders on the board
2022-11-11 10:56:15,509 [main] INFO  ua.hillel.homeworks.homework21.CoffeeOrderBoard [draw:48] - Список заказов выведен на табло успешно, количество 4
2022-11-11 10:56:15,510 [main] INFO  ua.hillel.homeworks.homework21.Application [main:32] - Delete closest order in line
2022-11-11 10:56:15,511 [main] INFO  ua.hillel.homeworks.homework21.Application [lambda$main$0:35] - The closest order in line was successfully deleted, name: Flash, order: 1
2022-11-11 10:56:15,511 [main] INFO  ua.hillel.homeworks.homework21.Application [main:38] - Display the list of orders on the board
2022-11-11 10:56:15,511 [main] INFO  ua.hillel.homeworks.homework21.CoffeeOrderBoard [draw:48] - Список заказов выведен на табло успешно, количество 3
2022-11-11 10:56:15,511 [main] INFO  ua.hillel.homeworks.homework21.Application [main:41] - Add new order for name: Aquaman
2022-11-11 10:56:15,511 [main] INFO  ua.hillel.homeworks.homework21.CoffeeOrderBoard [add:19] - Заказ добавлен, имя: Aquaman, номер заказа: 6
2022-11-11 10:56:15,511 [main] INFO  ua.hillel.homeworks.homework21.CoffeeOrderBoard [draw:48] - Список заказов выведен на табло успешно, количество 4
